id,message,dirs,opinion,https://github.com/Azure-Samples/java-native-telemetry/,pull_req_id,pull_req_title,pull_req_body
14931eec3bc45758c59e7503762912fb779a1ecb,update .devcontainer file (#68),.devcontainer empty code/quarkus-telemetry docs/assets,adaptive,,68.0,update .devcontainer file,"#67

update .devcontainer.json and add docs"
f6cd41700c9da44a74abfd1703369673740024bd,Update VeggieController.java (#70),code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,perfective,,70.0,Type mismatch in VeggieController.java,"There is a type mismatch in VeggieController.java.
The field ""id"" is defined with String in Veggie.java, while a parameter in methods ""deleteVeggie"" and ""getVeggieById"" is defined with Long. If this mismatch is not fixed, both methods always return 400 (Bad request)."
7521a568bc7a62717c43b2540aeefa6b2fab5667,Bump quarkus-opentelemetry-exporter-azure (#69),code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable,adaptive,,69.0,Bump quarkus-opentelemetry-exporter-azure,Fix this issue: https://github.com/Azure/azure-sdk-for-java/issues/41040
37c58f2314e2236557944f71e44f172b170f9f3f,Remove workaround for Spring native (#62),code/spring-boot-telemetry/src/main/resources/META-INF/native-image code/spring-boot-telemetry/src/main/resources/native-image,perfective,,62.0,Remove workaround for Spring native, Bug fixed with https://github.com/Azure-Samples/java-native-telemetry/pull/61 (see https://github.com/Azure/azure-sdk-for-java/pull/40151).
d9fcd99520f9af723ac59e40c13bcf8d0cb7a208,Bump Spring telemetry dependency (#61),code/spring-boot-telemetry code/spring-boot-telemetry/src/main/resources,adaptive,,61.0,Bump Spring telemetry dependency,
9b8e68afbdc409b7711b4c6afdae787841f49dbe,bump to quarkus 3.11.2 (#59),code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/java/com/azure/examples/quarkus/client,adaptive,,59.0,Bump to Quarkus 3.11.2,
b12e2b0787acf9ca66d1596955313b08937598a8,"Add missing dependencies (#56)
",code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/resources,adaptive,,56.0,Add missing dependencies,
c6a5bdfc75c864b4e0754e8a4df984ddc56d0c9b,"New main with all the monitoring on (#52)
* added otel

* add application insights connection

* Create an auto-deploy file

* change order

* clean dockerfile

* JAR signature verification for ahead-of-time (AOT)

* update container app name

* update paths

* update action

* update java version

* add buildarg

* update graalvm options

* add graalvm native

* change to ce22 instead of muslib

* wrap args

* jvmarg

* update folder structure

* remove optional arg

* update path

* update path

* Adding 'Init-at-build-time' args and removing musl

* Back to using MUSL

* Update Dockerfile to use 21

* Update Dockerfile

* update gh action for main branch

* add spring app name

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* Create an auto-deploy file

* set trigger path fot whole quarkus superheros app

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

use absolute path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

reset to relative path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

debug echos for gh action

* add env variables

* typo

* add path

* Copy multistage dockerfile from src/main/docker

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

change database url back to pure postkresql

* remove custom sys vars from dockerfile

* cleanups

* DB config tweak

* add application insights connection string

* typo

* add quarkus call

* merge main

* Endpoint with exception

* Update aca-spring-native-AutoDeployTrigger-78625412-9760-4d65-82c5-5b228fd9ff1b.yml

* Unlink the containerApp aca-spring-native from this repo

* remove IT test

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* remove action to reset it

* remove action from branch

* Create an auto-deploy file

* add env variables

* add missing dependency

* readd needed buildArg to pom.xml

* skip tests

* Update application.properties

* recreate table at service deployment

* add misssing superhero service url

* enable root for spring service

* Update application.properties

Revert to update

* use Strings for ID

* create db

* update orm in quarkus

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

update database url

* Update Spring app

* hibernate generation mode

* Rename Quarkus app

(cherry picked from commit bc49d3c)

* update tests

* Hello  DevoxxFR

* Rename branches to main on github actions

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* address PR review

---------",.github/workflows code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/resources/META-INF/native-image code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller,opinion,,52.0,New main with all the monitoring on,
3f85c35e1f604ba68a8fcd6da0e4ebd43a8f00d7,"Merge pull request #49 from brunobat/main
Remove it test from main",code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message,perfective,,49.0,Remove it test from main,
ba426a4fb5092bb27a7ccd1b378cc0e4b24bdbba,Reuse create-drop for Hibernate DDL (#47),code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources code/spring-boot-telemetry/src/main/resources,perfective,,47.0,Reuse create-drop for Hibernate DDL,
3c20a84038290ca0ee4a5cdac893077957ff0478,Remove it test from main,code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message,perfective,,45.0,Rename Quarkus app,
874e5550b3e162097c9d760ce4ee7be61d551125,Merge pull request #45 from Azure-Samples/rename-quarkus-app,code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,preventive,,48.0,Workaround for Spring native monitoring bug,Bur reported: https://github.com/Azure/azure-sdk-for-java/issues/39699
869d5209afcdcc9b7be3fe222d47dbe43f3eb7fa,Workaround for Spring native monitoring bug (#48),code/spring-boot-telemetry/src/main/resources/native-image,corrective,,44.0,Use system-uuid for id generation in Spring Boot,
bc49d3cfa80902dbef548b450311632883d754ff,Rename Quarkus app,code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,preventive,,42.0,Endpoint with exception to main,
4d2c15a9187f0302b48792c687b47f0569617c93,update hibernate,code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources,adaptive,,39.0,Use Hibernate for Spring Boot,
24f06e91afd58210abd00e5ed2660e4eb4107410,change hibernate dll to update in spring app,code/spring-boot-telemetry/src/main/resources,adaptive,,41.0,Use Spring bean for rest template,
917f9be9458c87c0cab80aef5134a814cd471758,change all IDs to String in Spring app like in Quarkus,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service,perfective,,40.0,Ability to call Heroes from Spring Veggie,
2c78f88becdaa389469c6e7f1a0113f345b99e51,small bugfix,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/repository,corrective,,,,
7d87bf9aa536361ba45349c34161eab4a312c6e5,"Merge pull request #44 from Azure-Samples/systemsystem-uui-spring-boot
Use system-uuid for id generation in Spring Boot",code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/data code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller,perfective,,,,
8e2233b5a8c018348481ede63018a0e44c5a425d,Use system-uuid for id generation in Spring Boot,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/data code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller,perfective,,,,
1257b46a1e2a9a61b8c7d8aa2a474cb4186eb2f3,"Merge pull request #42 from brunobat/add-exception-endpoint
Endpoint with exception to main",code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/docker code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/data code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/resource code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker,additive,,,,
2005da9ba8be9f8c6ac89527aac33373aa5eddae,remove jdbc,code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service,adaptive,,,,
0e77d1adb72c125e377fc628ad35641a3e97b5b0,Endpoint with exception,code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/docker code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/data code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/java/com/azure/examples/quarkus/superhero/resource code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker,additive,,,,
695ca472dfae17f1c32f8fbcd1f004e1b296ac61,"Merge pull request #39 from Azure-Samples/use-hibernate-for-spring-boot
Use Hibernate for Spring Boot",code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/repository code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/resources,perfective,,,,
07cda42d7be2f5615158fadf657615cd74b9f4a2,Merge branch 'main' into use-hibernate-for-spring-boot,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/resources,perfective,,,,
b221eb45ae5a44d2c65dee5d198aa10af4a78786,"Merge pull request #41 from Azure-Samples/spring-bean-resttemplate
Use Spring bean for rest template",code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,perfective,,,,
f4f5a87e86b7ece9fcd5723d5bb30f659a9be04e,Use Spring bean for rest template,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,perfective,,,,
39e29312285909df267d9b7a6ee95b035e2046be,Downgrade hibernate,code/spring-boot-telemetry,adaptive,,,,
4a8a7f64b6fe80662def8cf2e980e18f1b044262,"Merge pull request #40 from Azure-Samples/ability-to-call-quarkus-from-spring
Ability to call Heroes from Spring Veggie",code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/resources,perfective,,,,
58c087f65c7337846c318c7ea4ba4d7e65034f4c,"Update application.properties
simplify",code/spring-boot-telemetry/src/main/resources,preventive,,,,
e3d951786a0b662a2a7a47d197a35f004cfff457,Change property name,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/test/resources,preventive,,,,
ae9ba45a0668ffd5d9c28154d249c3a42187e44a,Change property name,code/spring-boot-telemetry/src/test/resources,preventive,,,,
7ada6a74f0da320e48bfdc338107ba645f301877,Remove system out,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,preventive,,,,
91003d270a5dbea1946a95acd0db07a00bae1479,Ability to call Heroes from Spring Veggie,code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/resources,perfective,,,,
af4ef8a91ce9be8093c038f57e233c939606aee7,Use Hibernate for Spring Boot,code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/model code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/repository code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/service code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/resources,additive,,,,
