id,message,dirs,opinion,ecosystem,repo,https://github.com/aws-samples/amazon-ivs-player-web-sample
601fe038796ed7ca9c18584a8977e3a9b32f2129,Update player version to 1.32.1,,adaptive,aws-samples,amazon-ivis-player-web-samples,
e9c313a27667a4fda8cc94ccd7263d3359702752,"Merge pull request #95 from aws-samples/release/1.31.0
chore: release 1.31.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
8abda523cf576687b94caa1cb57e81a3f68e0964,chore: release 1.31.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
6206309bb8301868ae2cd5e09b381e494fdeb85f,"Merge pull request #93 from aws-samples/1.30.0
Player version 1.30.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
59d75a79b479e859b53946f37325788fa4a5c394,"Merge pull request #92 from aws-samples/release/1.29.0
chore: release 1.29.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
27f9de2cf32730be900c9fba5cb76b04b0dc3124,Audit fix,,adaptive,aws-samples,amazon-ivis-player-web-samples,
38cbb1b836446ebfe578e4807427332566cb2fea,Update player version to 1.30.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
59d75a79b479e859b53946f37325788fa4a5c394,"Merge pull request #92 from aws-samples/release/1.29.0
chore: release 1.29.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
2264647bf5d5e808bc0a05ff20c3019bb30737d4,chore:release 1.29.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
bce2a3ea8c4972683bdfc8bcc1bad36dbd6c3e68,"Merge pull request #91 from aws-samples/release/1.28.0
chore: release 1.28.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
8cc3740b0870e9536c597a61e8bd99bbaee82798,chore: release 1.28.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
689f8073ec03d4a113c0bed0bd09993817d4a2cb,Update to 1.27.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
b6e88128a48bf59a7084ab47723ded9201c18a4e,"Merge pull request #89 from aws-samples/release/1.26.0
chore: release 1.26.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
db7e472c257ff237cff0744fca625baa0d3bce8a,chore: release 1.26.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
928eb56b48f5ce5ccb1dfcce5c3e813826f287ed,"Merge pull request #88 from aws-samples/release/1.25.0
chore: release 1.25.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
a488a3be4857f2fd5095129a5c7024fd8349e8c3,"chore: release 1.25.0
",,adaptive,aws-samples,amazon-ivis-player-web-samples,
c300df27c420c0a42245a33e455c181969aaa161,Update service worker example to 1.24.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
6aede54831b8027375070681feb88870da8b5981,Update SDK to 1.24.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
f2e48ab61a34163d613634c7e1106c20a06fc5fb,"Merge pull request #86 from aws-samples/task/service-worker-example
samples: add service worker example",,additive,aws-samples,amazon-ivis-player-web-samples,
3779119f546013508a17aa37cfdb77e332c39962,samples: add service worker example,,additive,aws-samples,amazon-ivis-player-web-samples,
6e3014b80425b85796f0e7076c9813fbbb6bf4fc,"Merge pull request #85 from aws-samples/release/1.23.0
chore: release 1.23.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
e0bc56d151d51d9f59ee27ad299d3e35e57dda19,"Merge pull request #82 from aws-samples/release/1.22.0
chore: release 1.22.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
1f43fe1b4d557db1b3c1094a03dd129dd99624fd,chore: release 1.22.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
a93de59ca830dcf21ee9664bb248972ad7d93d49,"Merge pull request #81 from aws-samples/release/1.21.0
chore: release 1.21.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
75a50e043cf5a80a68be70bf7b1a40f31be3a4dd,chore: release 1.21.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
7cfd6886c7bc67aa07d42aebabf5a8a89bc54c7d,Update cloud player to 1.20.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
52bcd8612a81c96ebcb9b72e5b0355928b4b82f5,Update amazon-ivs-player to 1.20.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
34c7f111965835668a34e3e0a1f76f709eb9ab22,"Merge pull request #77 from aws-samples/release/1.19.0
chore:release 1.19.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
cf91df9ac1d356f28ec37d9951579432d1e8c216,chore:release 1.19.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
e31cd45c908baea8dff2df2f60225b18d924b8a2,chore:release 1.18.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
d5e2b07ba3c471bb2446b83e3e6a9fd2a8dc5f60,chore:release 1.18.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
b35f4b96d5f0bc48b32f3f5e1c450a7e0aa65fbe,Fix bad merge,,corrective,aws-samples,amazon-ivis-player-web-samples,
6e1730959326303be55c3b7577fb628e2759c991,Merge branch 'master' of https://github.com/aws-samples/amazon-ivs-player-web-sample,,adaptive,aws-samples,amazon-ivis-player-web-samples,
c1591044519ec91737b9613b210bff97e3681001,Bump SDK version to 1.17.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
d109e540d51bf36c3eb7a4b3779265a42f027aed,Merge pull request #72 from aws-samples/release/1.16.0,,adaptive,aws-samples,amazon-ivis-player-web-samples,
7a16bfbdb5ff7adab653afda613841d425b07371,"chore:release 1.16.0",,adaptive,aws-samples,amazon-ivis-player-web-samples,
9996d69958f66b7987046dbc23fe522fa7936d22,Merge pull request #70 from aws-samples/dependabot/npm_and_yarn/json5-and-babel-loader-2.2.3,,adaptive,aws-samples,amazon-ivis-player-web-samples,
7dbaa349a43fceb936fb16dc12ea480aa236c9bc,Merge pull request #69 from aws-samples/dependabot/npm_and_yarn/express-4.18.2,,adaptive,aws-samples,amazon-ivis-player-web-samples,
31e81b3e2cb37fdf6d9ce2ea35d0d5eb2d83e367,Bump json5 and babel-loader,,adaptive,aws-samples,amazon-ivis-player-web-samples,
54214f445696ff2347751963556e7f949eab1ec4,Bump express from 4.17.2 to 4.18.2,,adaptive,aws-samples,amazon-ivis-player-web-samples,
4329fe88ae5edcbdbc91521b6066e4562c544d2f,Merge pull request #66 from aws-samples/dependabot/npm_and_yarn/xmldom/xmldom-0.7.9,,adaptive,aws-samples,amazon-ivis-player-web-samples,