id,message,dirs,opinion,ecosystem,repo,https://github.com/Azure-Samples/java-native-telemetry/
14931eec3bc45758c59e7503762912fb779a1ecb,update .devcontainer file (#68),,adaptive,Azure-Samples,java-native-telemetry,
f6cd41700c9da44a74abfd1703369673740024bd,Update VeggieController.java (#70),,perfective,Azure-Samples,java-native-telemetry,
7521a568bc7a62717c43b2540aeefa6b2fab5667,Bump quarkus-opentelemetry-exporter-azure (#69),,adaptive,Azure-Samples,java-native-telemetry,
37c58f2314e2236557944f71e44f172b170f9f3f,Remove workaround for Spring native (#62),,perfective,Azure-Samples,java-native-telemetry,
d9fcd99520f9af723ac59e40c13bcf8d0cb7a208,Bump Spring telemetry dependency (#61),,adaptive,Azure-Samples,java-native-telemetry,
9b8e68afbdc409b7711b4c6afdae787841f49dbe,bump to quarkus 3.11.2 (#59),,adaptive,Azure-Samples,java-native-telemetry,
b12e2b0787acf9ca66d1596955313b08937598a8,"Add missing dependencies (#56)
",,adaptive,Azure-Samples,java-native-telemetry,
c6a5bdfc75c864b4e0754e8a4df984ddc56d0c9b,"New main with all the monitoring on (#52)
* added otel

* add application insights connection

* Create an auto-deploy file

* change order

* clean dockerfile

* JAR signature verification for ahead-of-time (AOT)

* update container app name

* update paths

* update action

* update java version

* add buildarg

* update graalvm options

* add graalvm native

* change to ce22 instead of muslib

* wrap args

* jvmarg

* update folder structure

* remove optional arg

* update path

* update path

* Adding 'Init-at-build-time' args and removing musl

* Back to using MUSL

* Update Dockerfile to use 21

* Update Dockerfile

* update gh action for main branch

* add spring app name

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* Create an auto-deploy file

* set trigger path fot whole quarkus superheros app

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

use absolute path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

reset to relative path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

debug echos for gh action

* add env variables

* typo

* add path

* Copy multistage dockerfile from src/main/docker

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

change database url back to pure postkresql

* remove custom sys vars from dockerfile

* cleanups

* DB config tweak

* add application insights connection string

* typo

* add quarkus call

* merge main

* Endpoint with exception

* Update aca-spring-native-AutoDeployTrigger-78625412-9760-4d65-82c5-5b228fd9ff1b.yml

* Unlink the containerApp aca-spring-native from this repo

* remove IT test

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* remove action to reset it

* remove action from branch

* Create an auto-deploy file

* add env variables

* add missing dependency

* readd needed buildArg to pom.xml

* skip tests

* Update application.properties

* recreate table at service deployment

* add misssing superhero service url

* enable root for spring service

* Update application.properties

Revert to update

* use Strings for ID

* create db

* update orm in quarkus

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

update database url

* Update Spring app

* hibernate generation mode

* Rename Quarkus app

(cherry picked from commit bc49d3c)

* update tests

* Hello  DevoxxFR

* Rename branches to main on github actions

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* address PR review

---------
",,perfective,Azure-Samples,java-native-telemetry,
3f85c35e1f604ba68a8fcd6da0e4ebd43a8f00d7,"Merge pull request #49 from brunobat/main
Remove it test from main",,perfective,Azure-Samples,java-native-telemetry,
ba426a4fb5092bb27a7ccd1b378cc0e4b24bdbba,Reuse create-drop for Hibernate DDL (#47),,perfective,Azure-Samples,java-native-telemetry,
3c20a84038290ca0ee4a5cdac893077957ff0478,Remove it test from main,,perfective,Azure-Samples,java-native-telemetry,
874e5550b3e162097c9d760ce4ee7be61d551125,Merge pull request #45 from Azure-Samples/rename-quarkus-app,,preventive,Azure-Samples,java-native-telemetry,
869d5209afcdcc9b7be3fe222d47dbe43f3eb7fa,Workaround for Spring native monitoring bug (#48),,corrective,Azure-Samples,java-native-telemetry,
bc49d3cfa80902dbef548b450311632883d754ff,Rename Quarkus app,,preventive,Azure-Samples,java-native-telemetry,
4d2c15a9187f0302b48792c687b47f0569617c93,update hibernate,,adaptive,Azure-Samples,java-native-telemetry,
24f06e91afd58210abd00e5ed2660e4eb4107410,change hibernate dll to update in spring app,,adaptive,Azure-Samples,java-native-telemetry,
917f9be9458c87c0cab80aef5134a814cd471758,change all IDs to String in Spring app like in Quarkus,,perfective,Azure-Samples,java-native-telemetry,
2c78f88becdaa389469c6e7f1a0113f345b99e51,small bugfix,,corrective,Azure-Samples,java-native-telemetry,
7d87bf9aa536361ba45349c34161eab4a312c6e5,"Merge pull request #44 from Azure-Samples/systemsystem-uui-spring-boot
Use system-uuid for id generation in Spring Boot",,perfective,Azure-Samples,java-native-telemetry,
8e2233b5a8c018348481ede63018a0e44c5a425d,Use system-uuid for id generation in Spring Boot,,perfective,Azure-Samples,java-native-telemetry,
1257b46a1e2a9a61b8c7d8aa2a474cb4186eb2f3,"Merge pull request #42 from brunobat/add-exception-endpoint
Endpoint with exception to main",,additive,Azure-Samples,java-native-telemetry,
2005da9ba8be9f8c6ac89527aac33373aa5eddae,remove jdbc,,adaptive,Azure-Samples,java-native-telemetry,
0e77d1adb72c125e377fc628ad35641a3e97b5b0,Endpoint with exception,,additive,Azure-Samples,java-native-telemetry,
695ca472dfae17f1c32f8fbcd1f004e1b296ac61,"Merge pull request #39 from Azure-Samples/use-hibernate-for-spring-boot
Use Hibernate for Spring Boot",,perfective,Azure-Samples,java-native-telemetry,
07cda42d7be2f5615158fadf657615cd74b9f4a2,Merge branch 'main' into use-hibernate-for-spring-boot,,perfective,Azure-Samples,java-native-telemetry,
b221eb45ae5a44d2c65dee5d198aa10af4a78786,"Merge pull request #41 from Azure-Samples/spring-bean-resttemplate
Use Spring bean for rest template",,perfective,Azure-Samples,java-native-telemetry,
f4f5a87e86b7ece9fcd5723d5bb30f659a9be04e,Use Spring bean for rest template,,perfective,Azure-Samples,java-native-telemetry,
39e29312285909df267d9b7a6ee95b035e2046be,Downgrade hibernate,,adaptive,Azure-Samples,java-native-telemetry,
4a8a7f64b6fe80662def8cf2e980e18f1b044262,"Merge pull request #40 from Azure-Samples/ability-to-call-quarkus-from-spring
Ability to call Heroes from Spring Veggie",,perfective,Azure-Samples,java-native-telemetry,
58c087f65c7337846c318c7ea4ba4d7e65034f4c,"Update application.properties
simplify",,preventive,Azure-Samples,java-native-telemetry,
e3d951786a0b662a2a7a47d197a35f004cfff457,Change property name,,preventive,Azure-Samples,java-native-telemetry,
ae9ba45a0668ffd5d9c28154d249c3a42187e44a,Change property name,,preventive,Azure-Samples,java-native-telemetry,
7ada6a74f0da320e48bfdc338107ba645f301877,Remove system out,,preventive,Azure-Samples,java-native-telemetry,
91003d270a5dbea1946a95acd0db07a00bae1479,Ability to call Heroes from Spring Veggie,,perfective,Azure-Samples,java-native-telemetry,
af4ef8a91ce9be8093c038f57e233c939606aee7,Use Hibernate for Spring Boot,,additive,Azure-Samples,java-native-telemetry,